SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
@JumboPlus5GHz,00:7e:95:cb:38:8e,-54,48,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
eduroam,00:7e:95:cb:38:8d,-54,48,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
@JumboPlusIoT,00:7e:95:cb:38:8c,-56,48,Y,TH,RSN(PSK/AES/AES),1557.24485560102,807.9023008954514
@TOT_Wi-Fi,00:7e:95:cb:38:88,-55,48,Y,TH,NONE,1557.24485560102,807.9023008954514
.@TrueMoveH,00:7e:95:cb:38:87,-56,48,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
AISSMARTLogin,00:7e:95:cb:38:86,-54,48,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
AISSMARTLogin,00:7e:95:c7:f0:a6,-74,44,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
.@TrueMoveH,00:7e:95:c7:f0:a7,-74,44,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
@TOT_Wi-Fi,00:7e:95:c7:f0:a8,-74,44,Y,TH,NONE,1557.24485560102,807.9023008954514
@JumboPlusIoT,00:7e:95:c7:f0:ac,-74,44,Y,TH,RSN(PSK/AES/AES),1557.24485560102,807.9023008954514
eduroam,00:7e:95:c7:f0:ad,-74,44,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
@JumboPlus5GHz,00:7e:95:c7:f0:ae,-74,44,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
AISSMARTLogin,00:b6:70:59:9f:06,-78,40,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
.@TrueMoveH,00:b6:70:59:9f:07,-78,40,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
@TOT_Wi-Fi,00:b6:70:59:9f:08,-78,40,Y,TH,NONE,1557.24485560102,807.9023008954514
@JumboPlusIoT,00:b6:70:59:9f:0c,-77,40,Y,TH,RSN(PSK/AES/AES),1557.24485560102,807.9023008954514
AISSMARTLogin,00:7e:95:cb:95:a6,-58,40,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
.@TrueMoveH,00:7e:95:cb:95:a7,-58,40,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
@TOT_Wi-Fi,00:7e:95:cb:95:a8,-58,40,Y,TH,NONE,1557.24485560102,807.9023008954514
@JumboPlusIoT,00:7e:95:cb:95:ac,-58,40,Y,TH,RSN(PSK/AES/AES),1557.24485560102,807.9023008954514
eduroam,00:7e:95:cb:95:ad,-58,40,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
OASYS-5G,8c:de:f9:be:f1:a5,-74,40,Y,--,"RSN(PSK,SAE/AES/AES)",1557.24485560102,807.9023008954514
@JumboPlus5GHz,00:7e:95:cb:95:ae,-58,40,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
@JumboPlus5GHz,00:7e:95:c5:03:4e,-82,36,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
AISSMARTLogin,00:b6:70:5e:8b:c6,-80,36,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
.@TrueMoveH,00:b6:70:5e:8b:c7,-82,36,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
@JumboPlusIoT,00:b6:70:5e:8b:cc,-82,36,Y,TH,RSN(PSK/AES/AES),1557.24485560102,807.9023008954514
@JumboPlus5GHz,00:b6:70:5e:8b:ce,-81,36,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
CPE-WiFi,00:a2:89:03:36:ce,-86,36,Y,TH,NONE,1557.24485560102,807.9023008954514
CPE-Staff,00:a2:89:03:36:cf,-80,36,Y,TH,NONE,1557.24485560102,807.9023008954514
@JumboPlusIoT,00:7e:95:cb:a8:8c,-67,157,Y,TH,RSN(PSK/AES/AES),1557.24485560102,807.9023008954514
AISSMARTLogin,00:7e:95:cb:13:66,-79,157,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
@TOT_Wi-Fi,00:7e:95:cb:a8:88,-67,157,Y,TH,NONE,1557.24485560102,807.9023008954514
.@TrueMoveH,00:7e:95:cb:35:47,-79,157,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
AISSMARTLogin,00:7e:95:cb:a8:86,-67,157,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
.@TrueMoveH,00:7e:95:cb:a8:87,-67,157,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
eduroam,00:7e:95:cb:a8:8d,-67,157,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
@JumboPlus5GHz,00:7e:95:cb:a8:8e,-68,157,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
@JumboPlus5GHz,00:7e:95:c5:40:ae,-76,157,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,807.9023008954514
