SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
s,u,m
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
AISSMARTLogin,00:7e:95:c7:ec:66,-70,64,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
AISSMARTLogin,00:7e:95:cb:6f:26,-64,64,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
.@TrueMoveH,00:7e:95:c7:ec:67,-70,64,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
.@TrueMoveH,00:7e:95:cb:6f:27,-64,64,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@TOT_Wi-Fi,00:7e:95:c7:ec:68,-70,64,Y,TH,NONE,310.76737967914437,578.8654188948307
@TOT_Wi-Fi,00:7e:95:cb:6f:28,-64,64,Y,TH,NONE,310.76737967914437,578.8654188948307
@JumboPlusIoT,00:7e:95:c7:ec:6c,-70,64,Y,TH,RSN(PSK/AES/AES),310.76737967914437,578.8654188948307
@JumboPlusIoT,00:7e:95:cb:6f:2c,-64,64,Y,TH,RSN(PSK/AES/AES),310.76737967914437,578.8654188948307
eduroam,00:7e:95:c7:ec:6d,-70,64,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
eduroam,00:7e:95:cb:6f:2d,-64,64,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:1e,-50,64,Y,TH,"RSN(PSK/TKIP,AES/TKIP)",310.76737967914437,578.8654188948307
@JumboPlus5GHz,00:7e:95:cb:6e:ce,-80,64,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
eduroam,00:7e:95:cb:6e:cd,-81,64,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@JumboPlusIoT,00:7e:95:cb:6e:cc,-82,64,Y,TH,RSN(PSK/AES/AES),310.76737967914437,578.8654188948307
@TOT_Wi-Fi,00:7e:95:cb:6e:c8,-80,64,Y,TH,NONE,310.76737967914437,578.8654188948307
.@TrueMoveH,00:7e:95:cb:6e:c7,-81,64,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
AISSMARTLogin,00:7e:95:cb:6e:c6,-81,64,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@JumboPlus5GHz,04:5f:b9:e4:2f:8e,-69,60,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@JumboPlusIoT,04:5f:b9:e4:2f:8c,-69,60,Y,TH,RSN(PSK/AES/AES),310.76737967914437,578.8654188948307
@TOT_Wi-Fi,04:5f:b9:e4:2f:88,-69,60,Y,TH,NONE,310.76737967914437,578.8654188948307
.@TrueMoveH,04:5f:b9:e4:2f:87,-69,60,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
AISSMARTLogin,04:5f:b9:e4:2f:86,-69,60,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
AISSMARTLogin,00:b6:70:59:5d:c6,-80,52,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
.@TrueMoveH,00:b6:70:59:5d:c7,-80,52,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@TOT_Wi-Fi,00:b6:70:59:5d:c8,-80,52,Y,TH,NONE,310.76737967914437,578.8654188948307
@JumboPlusIoT,00:b6:70:59:5d:cc,-80,52,Y,TH,RSN(PSK/AES/AES),310.76737967914437,578.8654188948307
eduroam,00:b6:70:59:5d:cd,-79,52,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@JumboPlus5GHz,00:b6:70:59:5d:ce,-80,52,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@JumboPlus5GHz,00:7e:95:c5:04:ae,-73,52,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
eduroam,00:7e:95:c5:04:ad,-73,52,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@JumboPlusIoT,00:7e:95:c5:04:ac,-73,52,Y,TH,RSN(PSK/AES/AES),310.76737967914437,578.8654188948307
@TOT_Wi-Fi,00:7e:95:c5:04:a8,-73,52,Y,TH,NONE,310.76737967914437,578.8654188948307
.@TrueMoveH,00:7e:95:c5:04:a7,-73,52,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
AISSMARTLogin,00:7e:95:c5:04:a6,-73,52,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
QuadrupedRobot,d4:5d:64:91:a2:3c,-84,161,Y,US,RSN(PSK/AES/AES),310.76737967914437,578.8654188948307
@JumboPlusIoT,00:7e:95:c5:10:cc,-76,157,Y,TH,RSN(PSK/AES/AES),310.76737967914437,578.8654188948307
@JumboPlus5GHz,00:7e:95:c5:10:ce,-76,157,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@TOT_Wi-Fi,00:7e:95:c5:10:c8,-76,157,Y,TH,NONE,310.76737967914437,578.8654188948307
.@TrueMoveH,00:7e:95:c5:10:c7,-77,157,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
AISSMARTLogin,00:7e:95:c5:10:c6,-76,157,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
AISSMARTLogin,00:7e:95:c7:e8:e6,-79,157,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
.@TrueMoveH,00:7e:95:c7:e8:e7,-79,157,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@TOT_Wi-Fi,00:7e:95:c7:e8:e8,-78,157,Y,TH,NONE,310.76737967914437,578.8654188948307
@JumboPlusIoT,00:7e:95:c7:e8:ec,-78,157,Y,TH,RSN(PSK/AES/AES),310.76737967914437,578.8654188948307
eduroam,00:7e:95:c7:e8:ed,-79,157,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
AISSMARTLogin,00:7e:95:c7:f0:a6,-70,157,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
.@TrueMoveH,00:7e:95:c7:f0:a7,-70,157,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@TOT_Wi-Fi,00:7e:95:c7:f0:a8,-69,157,Y,TH,NONE,310.76737967914437,578.8654188948307
@JumboPlusIoT,00:7e:95:c7:f0:ac,-69,157,Y,TH,RSN(PSK/AES/AES),310.76737967914437,578.8654188948307
eduroam,00:7e:95:c7:f0:ad,-70,157,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@JumboPlus5GHz,00:7e:95:c7:f0:ae,-70,157,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@JumboPlus5GHz,00:7e:95:c7:e8:ee,-78,157,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
.@TrueMoveH,04:5f:b9:e5:1f:a7,-60,149,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@JumboPlusIoT,04:5f:b9:e5:1f:ac,-60,149,Y,TH,RSN(PSK/AES/AES),310.76737967914437,578.8654188948307
.@TrueMoveH,00:7e:95:c5:10:27,-72,149,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
AISSMARTLogin,00:7e:95:cb:0d:86,-78,149,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
AISSMARTLogin,00:b6:70:59:90:06,-75,149,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
AISSMARTLogin,00:7e:95:c5:10:26,-71,149,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
.@TrueMoveH,00:b6:70:59:90:07,-74,149,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@TOT_Wi-Fi,04:5f:b9:e5:1f:a8,-60,149,Y,TH,NONE,310.76737967914437,578.8654188948307
eduroam,04:5f:b9:e5:1f:ad,-59,149,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@JumboPlus5GHz,04:5f:b9:e5:1f:ae,-59,149,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
@TOT_Wi-Fi,00:7e:95:cb:6f:a8,-86,48,Y,TH,NONE,310.76737967914437,578.8654188948307
AISSMARTLogin,00:7e:95:c9:d3:26,-69,48,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
AISSMARTLogin,00:7e:95:c9:7b:66,-73,48,Y,TH,RSN(802.1x/AES/AES),310.76737967914437,578.8654188948307
